"class","method","reference.x","set","precision","recall","f1","accuracy","reference.y","full_precision","full_recall","full_f1","full_accuracy"
"175","Dendritic cell","SingleCellNet","",6,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"176","Dendritic cell","SingleCellNet","",7,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"177","Dendritic cell","SingleCellNet","",8,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"178","Dendritic cell","SingleCellNet","",10,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"179","Dendritic cell","SingleCellNet","",11,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"180","Dendritic cell","SingleCellNet","",12,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"181","Dendritic cell","SingleR","",15,NA,NA,NA,NA,"BoneMarrow",0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
"182","Dendritic cell","SingleR","",16,NA,NA,NA,NA,"BoneMarrow",0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
"183","Dendritic cell","SingleR","",17,NA,NA,NA,NA,"BoneMarrow",0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
"184","Dendritic cell","SingleR","",18,NA,NA,NA,NA,"BoneMarrow",0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
"185","Dendritic cell","SingleR","",19,NA,NA,NA,NA,"BoneMarrow",0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
"186","Dendritic cell","SingleR","",11,NA,NA,NA,NA,"BoneMarrow",0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
"187","Dendritic cell","SingleR","",12,NA,NA,NA,NA,"BoneMarrow",0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
