"id","reference","CellID","ItClust","Seurat","SingleCellNet","SingleR"
"358","X120","BoneMarrow",1,0.8,0.6,1,1
"359","X120026","BoneMarrow",1,1,1,0,1
"360","X120090","BoneMarrow",1,0,1,1,1
"361","X120099","BoneMarrow",1,1,0,1,1
"362","X120207","BoneMarrow",0.2,0,1,1,1
"363","X120230","BoneMarrow",1,0,1,1,1
"364","X120233","BoneMarrow",0.9,1,1,1,1
"365","X120241","BoneMarrow",1,0,1,1,1
"366","X120322","BoneMarrow",0,0,1,1,1
"367","X120397","BoneMarrow",0,0,1,0.9,0
"368","X120434","BoneMarrow",0,1,1,0.9,0.1
"369","X120475","BoneMarrow",1,1,1,1,1
"370","X120516","BoneMarrow",1,1,1,1,1
"371","X120549","BoneMarrow",0,0,1,1,1
"372","X120571","BoneMarrow",0.95,1,1,1,1
"373","X120623","BoneMarrow",0,0,1,1,1
"374","X120665","BoneMarrow",1,0,1,1,1
"375","X120773","BoneMarrow",0,0.9,1,1,1
"376","X120834","BoneMarrow",0,1,1,1,1
"377","X120864","BoneMarrow",1,1,1,1,1
"378","X120880","BoneMarrow",1,1,0.7,0,1
"379","X120885","BoneMarrow",0,1,1,1,1
"380","X121088","BoneMarrow",1,0,1,1,1
"381","X121090","BoneMarrow",0,0,1,1,0.9
"382","X121117","BoneMarrow",0,0,1,0.6,0
"383","X121137","BoneMarrow",0.05,0,1,1,1
"384","X121225","BoneMarrow",1,1,1,1,1
"385","X121335","BoneMarrow",1,1,1,1,1
"386","X121367","BoneMarrow",0.4,1,1,1,1
"387","X121509","BoneMarrow",1,0,1,1,1
"388","X121545","BoneMarrow",1,0,1,1,1
"389","X121556","BoneMarrow",0,0,1,1,1
"390","X121564","BoneMarrow",1,0,1,1,0.8
"391","X121619","BoneMarrow",0,0,1,1,1
"392","X12163","BoneMarrow",0,0,1,1,1
"393","X121672","BoneMarrow",0,1,1,1,1
"394","X121760","BoneMarrow",0.8,1,1,1,1
"395","X121847","BoneMarrow",1,1,1,1,1
"396","X12188","BoneMarrow",0,1,1,1,0
"397","X121902","BoneMarrow",1,1,1,1,1
"398","X122033","BoneMarrow",1,0,1,1,1
"399","X122493","BoneMarrow",0,0,0.6,0,0
"400","X122679","BoneMarrow",0,0,0.5,0,0
"401","X122682","BoneMarrow",0,1,0.7,1,0
"402","X122768","BoneMarrow",1,1,1,1,1
"403","X122785","BoneMarrow",0,1,0,1,0.9
"404","X122870","BoneMarrow",0.8,1,1,1,1
"405","X122905","BoneMarrow",0.75,0,1,1,1
